Nome,zl,zs,Sigma ap,dSigma ap,thetaE,Survey,theta ap,Theta eff,sigma0,dsigma0,sigma_atm_(arcsec)
J2122+0409,0.6260,1.4520,324.00,56.00,1.58,BELLS,1.00,1.760,326.00,56.00,1.80
J2125+0411,0.3630,0.9780,247.00,17.00,1.2,BELLS,1.00,1.470,250.00,17.00,1.80
J2303+0037,0.4580,0.9360,274.00,31.00,1.02,BELLS,1.00,1.350,278.00,31.00,1.80
J0008–0004,0.4400,1.1920,193.00,36.00,1.16,SLACS,1.50,1.710,197.00,37.00,1.40
J0029–0055,0.2270,0.9310,229.00,18.00,0.96,SLACS,1.50,2.160,232.00,18.00,1.40
J0037–0942,0.1960,0.6320,279.00,10.00,1.53,SLACS,1.50,2.190,283.00,10.00,1.40
J0044+0113,0.1200,0.1960,266.00,13.00,0.79,SLACS,1.50,2.610,267.00,13.00,1.40
J0109+1500,0.2940,0.5250,251.00,19.00,0.69,SLACS,1.50,1.380,259.00,20.00,1.40
J0157–0056,0.5130,0.9240,295.00,47.00,0.79,SLACS,1.50,1.060,308.00,49.00,1.40
J0216–0813,0.3320,0.5240,333.00,23.00,1.16,SLACS,1.50,2.670,335.00,23.00,1.40
J0252+0039,0.2800,0.9820,164.00,12.00,1.04,SLACS,1.50,1.390,169.00,12.00,1.40
J0330–0020,0.3510,1.0710,212.00,21.00,1.1,SLACS,1.50,1.200,220.00,22.00,1.40
J0405–0455,0.0750,0.8100,160.00,8.00,0.8,SLACS,1.50,1.360,165.00,8.00,1.40
J0728+3835,0.2060,0.6880,214.00,11.00,1.25,SLACS,1.50,1.780,219.00,11.00,1.40
J0737+3216,0.3220,0.5810,338.00,17.00,1,SLACS,1.50,2.820,339.00,17.00,1.40
J0808+4706,0.2190,1.0250,236.00,11.00,1.23,SLACS,1.50,2.420,238.00,11.00,1.40
J0822+2652,0.2410,0.5940,259.00,15.00,1.17,SLACS,1.50,1.820,264.00,15.00,1.40
J0841+3824,0.1160,0.6570,225.00,11.00,1.41,SLACS,1.50,4.210,222.00,11.00,1.40
J0903+4116,0.4300,1.0650,223.00,27.00,1.29,SLACS,1.50,1.780,228.00,28.00,1.40
J0912+0029,0.1640,0.3240,326.00,12.00,1.63,SLACS,1.50,3.870,323.00,12.00,1.40
J0935–0003,0.3480,0.4670,396.00,35.00,0.87,SLACS,1.50,4.240,391.00,35.00,1.40
J0936+0913,0.1900,0.5880,243.00,12.00,1.09,SLACS,1.50,2.110,246.00,12.00,1.40
J0946+1006,0.2220,0.6080,263.00,21.00,1.38,SLACS,1.50,2.350,266.00,21.00,1.40
J0956+5100,0.2400,0.4700,334.00,17.00,1.33,SLACS,1.50,2.190,338.00,17.00,1.40
J0959+0410,0.1260,0.5350,197.00,13.00,0.99,SLACS,1.50,1.390,203.00,13.00,1.40
J1016+3859,0.1680,0.4390,247.00,13.00,1.09,SLACS,1.50,1.460,254.00,13.00,1.40
J1020+1122,0.2820,0.5530,282.00,18.00,1.2,SLACS,1.50,1.590,289.00,18.00,1.40
J1023+4230,0.1910,0.6960,242.00,15.00,1.41,SLACS,1.50,1.770,247.00,15.00,1.40
J1100+5329,0.3170,0.8580,187.00,23.00,1.52,SLACS,1.50,2.240,189.00,23.00,1.40
J1106+5228,0.0960,0.4070,262.00,13.00,1.23,SLACS,1.50,1.680,268.00,13.00,1.40
J1112+0826,0.2730,0.6300,320.00,20.00,1.49,SLACS,1.50,1.500,329.00,21.00,1.40
J1134+6027,0.1530,0.4740,239.00,12.00,1.1,SLACS,1.50,2.020,243.00,12.00,1.40
J1142+1001,0.2220,0.5040,221.00,22.00,0.98,SLACS,1.50,1.910,225.00,22.00,1.40
J1143–0144,0.1060,0.4020,269.00,13.00,1.68,SLACS,1.50,4.800,264.00,13.00,1.40
J1153+4612,0.1800,0.8750,226.00,15.00,1.05,SLACS,1.50,1.160,235.00,16.00,1.40
J1204+0358,0.1640,0.6310,267.00,17.00,1.31,SLACS,1.50,1.470,275.00,17.00,1.40
J1205+4910,0.2150,0.4810,281.00,14.00,1.22,SLACS,1.50,2.590,283.00,14.00,1.40
J1213+6708,0.1230,0.6400,292.00,15.00,1.42,SLACS,1.50,3.230,291.00,15.00,1.40
J1218+0830,0.1350,0.7170,219.00,11.00,1.45,SLACS,1.50,3.180,218.00,11.00,1.40
J1250+0523,0.2320,0.7950,252.00,14.00,1.13,SLACS,1.50,1.810,257.00,14.00,1.40
J1251–0208,0.2240,0.7840,233.00,23.00,0.84,SLACS,1.50,2.610,234.00,23.00,1.40
J1330–0148,0.0810,0.7120,185.00,9.00,0.87,SLACS,1.50,0.890,194.00,9.00,1.40
J1402+6321,0.2050,0.4810,267.00,17.00,1.35,SLACS,1.50,2.700,268.00,17.00,1.40
J1403+0006,0.1890,0.4730,213.00,17.00,0.83,SLACS,1.50,1.460,219.00,17.00,1.40
J1416+5136,0.2990,0.8110,240.00,25.00,1.37,SLACS,1.50,1.430,247.00,26.00,1.40
J1430+4105,0.2850,0.5750,322.00,32.00,1.52,SLACS,1.50,2.550,324.00,32.00,1.40
J1436–0000,0.2850,0.8050,224.00,17.00,1.12,SLACS,1.50,2.240,227.00,17.00,1.40
J1451–0239,0.1250,0.5200,223.00,14.00,1.04,SLACS,1.50,2.480,225.00,14.00,1.40
J1525+3327,0.3580,0.7170,264.00,26.00,1.31,SLACS,1.50,2.900,264.00,26.00,1.40
J1531–0105,0.1600,0.7440,279.00,14.00,1.71,SLACS,1.50,2.500,281.00,14.00,1.40
